CARD_ID|IMPL.|SET|FORMAT|TYPE|CLASS|NAME|TEXT
AT_001|True|TGT|W|SPELL|MAGE|Flame Lance|Deal $8 damage to a minion. *spelldmg
AT_002|True|TGT|W|SPELL|MAGE|Effigy|<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.
AT_003|True|TGT|W|MINION|MAGE|Fallen Hero|Your Hero Power deals 1 extra damage.
AT_004|True|TGT|W|SPELL|MAGE|Arcane Blast|Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>. *spelldmg
AT_005|True|TGT|W|SPELL|MAGE|Polymorph: Boar|Transform a minion into a 4/2 Boar with <b>Charge</b>.
AT_006|True|TGT|W|MINION|MAGE|Dalaran Aspirant|<b>Inspire:</b> Gain <b>Spell Damage +1</b>.
AT_007|True|TGT|W|MINION|MAGE|Spellslinger|<b>Battlecry:</b> Add a random spell to each player's hand.
AT_009|True|TGT|W|MINION|MAGE|Rhonin|<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.
AT_010|True|TGT|W|MINION|HUNTER|Ram Wrangler|<b>Battlecry:</b> If you have a Beast, summon a random Beast.
AT_011|True|TGT|W|MINION|PRIEST|Holy Champion|Whenever a character is healed, gain +2 Attack.
AT_012|True|TGT|W|MINION|PRIEST|Spawn of Shadows|<b>Inspire:</b> Deal 4 damage to each hero.
AT_013|True|TGT|W|SPELL|PRIEST|Power Word: Glory|Choose a minion. Whenever it attacks, restore 4 Health to your hero.
AT_014|True|TGT|W|MINION|PRIEST|Shadowfiend|Whenever you draw a card, reduce its Cost by (1).
AT_015|True|TGT|W|SPELL|PRIEST|Convert|Put a copy of an enemy minion into your hand.
AT_016|True|TGT|W|SPELL|PRIEST|Confuse|Swap the Attack and Health of all minions.
AT_017|True|TGT|W|MINION|NEUTRAL|Twilight Guardian|<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.
AT_018|True|TGT|W|MINION|PRIEST|Confessor Paletress|<b>Inspire:</b> Summon a random <b>Legendary</b> minion.
AT_019|True|TGT|W|MINION|WARLOCK|Dreadsteed|<b>Deathrattle:</b> Summon a Dreadsteed.
AT_020|True|TGT|W|MINION|WARLOCK|Fearsome Doomguard|
AT_021|True|TGT|W|MINION|WARLOCK|Tiny Knight of Evil|Whenever you discard a card, gain +1/+1.
AT_023|True|TGT|W|MINION|WARLOCK|Void Crusher|<b>Inspire:</b> Destroy a random minion for each player.
AT_024|True|TGT|W|SPELL|WARLOCK|Demonfuse|Give a Demon +3/+3. Give your opponent a Mana Crystal.
AT_025|True|TGT|W|SPELL|WARLOCK|Dark Bargain|Destroy 2 random enemy minions. Discard 2 random cards.
AT_026|True|TGT|W|MINION|WARLOCK|Wrathguard|Whenever this minion takes damage, also deal that amount to your hero.
AT_028|True|TGT|W|MINION|ROGUE|Shado-Pan Rider|<b>Combo:</b> Gain +3 Attack.
AT_029|True|TGT|W|MINION|ROGUE|Buccaneer|Whenever you equip a weapon, give it +1 Attack.
AT_030|True|TGT|W|MINION|ROGUE|Undercity Valiant|<b>Combo:</b> Deal 1 damage.
AT_031|True|TGT|W|MINION|ROGUE|Cutpurse|Whenever this minion attacks a hero, add the Coin to your hand.
AT_032|True|TGT|W|MINION|ROGUE|Shady Dealer|<b>Battlecry:</b> If you have a Pirate, gain +1/+1.
AT_033|True|TGT|W|SPELL|ROGUE|Burgle|Add 2 random class cards to your hand <i>(from your opponent's class)</i>.
AT_035|True|TGT|W|SPELL|ROGUE|Beneath the Grounds|Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian.
AT_036|True|TGT|W|MINION|ROGUE|Anub'arak|<b>Deathrattle:</b> Return this to your hand and summon a 4/4 Nerubian.
AT_037|True|TGT|W|SPELL|DRUID|Living Roots|<b>Choose One -</b> Deal $2 damage; or Summon two 1/1 Saplings. *spelldmg
AT_038|True|TGT|W|MINION|DRUID|Darnassus Aspirant|<b>Battlecry:</b> Gain an empty Mana Crystal. <b>Deathrattle:</b> Lose a Mana Crystal.
AT_039|True|TGT|W|MINION|DRUID|Savage Combatant|<b>Inspire:</b> Give your hero +2 Attack this turn.
AT_040|True|TGT|W|MINION|DRUID|Wildwalker|<b>Battlecry:</b> Give a friendly Beast +3 Health.
AT_041|True|TGT|W|MINION|DRUID|Knight of the Wild|Whenever you summon a Beast, reduce the Cost of this card by (1).
AT_042|True|TGT|W|MINION|DRUID|Druid of the Saber|<b>Choose One -</b> Transform into a 2/1 with <b>Charge</b>; or a 3/2 with <b>Stealth</b>.
AT_043|True|TGT|W|SPELL|DRUID|Astral Communion|Gain 10 Mana Crystals. Discard your hand.
AT_044|True|TGT|W|SPELL|DRUID|Mulch|Destroy a minion. Add a random minion to your opponent's hand.
AT_045|True|TGT|W|MINION|DRUID|Aviana|Your minions cost (1).
AT_046|True|TGT|W|MINION|SHAMAN|Tuskarr Totemic|<b>Battlecry:</b> Summon a random basic Totem.
AT_047|True|TGT|W|MINION|SHAMAN|Draenei Totemcarver|<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.
AT_048|True|TGT|W|SPELL|SHAMAN|Healing Wave|Restore #7 Health. Reveal a minion in each deck. If yours costs more, Restore #14 instead.
AT_049|True|TGT|W|MINION|SHAMAN|Thunder Bluff Valiant|<b>Inspire:</b> Give your Totems +2 Attack.
AT_050|True|TGT|W|WEAPON|SHAMAN|Charged Hammer|<b>Deathrattle:</b> Your Hero Power becomes 'Deal 2 damage.'
AT_051|True|TGT|W|SPELL|SHAMAN|Elemental Destruction|Deal $4-$5 damage to all minions. <b>Overload:</b> (5). *spelldmg
AT_052|True|TGT|W|MINION|SHAMAN|Totem Golem|<b>Overload:</b> (1)
AT_053|True|TGT|W|SPELL|SHAMAN|Ancestral Knowledge|Draw 2 cards. <b>Overload:</b> (2)
AT_054|True|TGT|W|MINION|SHAMAN|The Mistcaller|<b>Battlecry:</b> Give all minions in your hand and deck +1/+1.
AT_055|True|TGT|W|SPELL|PRIEST|Flash Heal|Restore #5 Health.
AT_056|True|TGT|W|SPELL|HUNTER|Powershot|Deal $2 damage to a minion and the minions next to it. *spelldmg
AT_057|True|TGT|W|MINION|HUNTER|Stablemaster|<b>Battlecry:</b> Give a friendly Beast <b>Immune</b> this turn.
AT_058|True|TGT|W|MINION|HUNTER|King's Elekk|<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it.
AT_059|True|TGT|W|MINION|HUNTER|Brave Archer|<b>Inspire:</b> If your hand is empty, deal 2 damage to the enemy hero.
AT_060|True|TGT|W|SPELL|HUNTER|Bear Trap|<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.
AT_061|True|TGT|W|SPELL|HUNTER|Lock and Load|Each time you cast a spell this turn, add a random Hunter card to your hand.
AT_062|True|TGT|W|SPELL|HUNTER|Ball of Spiders|Summon three 1/1 Webspinners.
AT_063|True|TGT|W|MINION|HUNTER|Acidmaw|Whenever another minion takes damage, destroy it.
AT_063t|True|TGT|W|MINION|HUNTER|Dreadscale|At the end of your turn, deal 1 damage to all other minions.
AT_064|True|TGT|W|SPELL|WARRIOR|Bash|Deal $3 damage. Gain 3 Armor. *spelldmg
AT_065|True|TGT|W|WEAPON|WARRIOR|King's Defender|<b>Battlecry:</b> If you have a minion with <b>Taunt</b>,  gain +1 Durability.
AT_066|True|TGT|W|MINION|WARRIOR|Orgrimmar Aspirant|<b>Inspire:</b> Give your weapon +1 Attack.
AT_068|True|TGT|W|SPELL|WARRIOR|Bolster|Give your <b>Taunt</b> minions +2/+2.
AT_069|True|TGT|W|MINION|WARRIOR|Sparring Partner|<b>Taunt</b> <b>Battlecry:</b> Give a minion <b>Taunt</b>.
AT_070|True|TGT|W|MINION|NEUTRAL|Skycap'n Kragg|<b>Charrrrrge</b> Costs (1) less for each friendly Pirate.
AT_071|True|TGT|W|MINION|WARRIOR|Alexstrasza's Champion|<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Charge</b>.
AT_072|True|TGT|W|MINION|WARRIOR|Varian Wrynn|<b>Battlecry:</b> Draw 3 cards. Put any minions you drew directly into the battlefield.
